,author1,,author2,,code,code2,,type,acc,L95,U95,p_baseline,p_lexico,t_lexico,t_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Anne Perkins,5,Gaby Hinsliff,,Anne PerkinsGaby Hinsliffcoref,Gaby HinsliffAnne Perkinscoref,,coref,0.595833333,0.483672358,0.707994308,0.076631342,5.27E-05,-7.79385886,2.372268866,,,,,,,V,voice,,,,0.53^{},0.64^{a},0.67^{a},0.65^{a},0.78^{a},0.71^{a},0.69^{a},0.70^{a},0.74^{a},0.79^{a},0.82^{a},0.82^{a},0.57^{},,,        & $ V$ & $ $ & $ $ & $ 0.53^{}$ & $ 0.64^{a}$ & $ 0.67^{a}$ & $ 0.65^{a}$ & $ 0.78^{a}$ & $ 0.71^{a}$ & $ 0.69^{a}$ & $ 0.70^{a}$ & $ 0.74^{a}$ & $ 0.79^{a}$ & $ 0.82^{a}$ & $ 0.82^{a}$ & $ 0.57^{}$ \\
1,Anne Perkins,5,Gaby Hinsliff,,Anne PerkinsGaby Hinsliffvoice,Gaby HinsliffAnne Perkinsvoice,,voice,0.511111111,0.343622609,0.678599614,0.862826652,0.000147844,-6.731434832,0.184188106,,,,,,,LC,lexico+coref,,,,0.98^{a},0.99^{a},0.99^{a},0.96^{a},0.98^{a},1.00^{a},0.98^{a},0.91^{a},1.00^{a},0.99^{a},0.99^{a},0.99^{a},0.98^{a},,,        & $ LC$ & $ $ & $ $ & $ 0.98^{a}$ & $ 0.99^{a}$ & $ 0.99^{a}$ & $ 0.96^{a}$ & $ 0.98^{a}$ & $ 1.00^{a}$ & $ 0.98^{a}$ & $ 0.91^{a}$ & $ 1.00^{a}$ & $ 0.99^{a}$ & $ 0.99^{a}$ & $ 0.99^{a}$ & $ 0.98^{a}$ \\
1,Anne Perkins,5,Gaby Hinsliff,,Anne PerkinsGaby Hinsliffcoref+voice,Gaby HinsliffAnne Perkinscoref+voice,,coref+voice,0.681944444,0.551687941,0.812200948,0.017868794,0.001022474,-5.023448074,3.878184564,,,,,,,LV,lexico+voice,,,,0.96^{a},0.98^{a},0.97^{a},0.98^{a},0.98^{a},1.00^{a},0.98^{a},0.90^{a},0.98^{a},0.98^{a},0.98^{a},0.99^{a},0.99^{a},,,        & $ LV$ & $ $ & $ $ & $ 0.96^{a}$ & $ 0.98^{a}$ & $ 0.97^{a}$ & $ 0.98^{a}$ & $ 0.98^{a}$ & $ 1.00^{a}$ & $ 0.98^{a}$ & $ 0.90^{a}$ & $ 0.98^{a}$ & $ 0.98^{a}$ & $ 0.98^{a}$ & $ 0.99^{a}$ & $ 0.99^{a}$ \\
1,Anne Perkins,5,Gaby Hinsliff,,Anne PerkinsGaby Hinslifflexico+voice+coref,Gaby HinsliffAnne Perkinslexico+voice+coref,,lexico+voice+coref,0.926388889,0.8905244,0.962253378,5.02E-06,1,0,33.0088445,,,,,,,CV,coref+voice,,,,0.67^{a},0.72^{a},0.70^{a},0.61^{a},0.76^{a},0.78^{a},0.77^{a},0.65^{a},0.78^{a},0.83^{a},0.83^{a},0.85^{a},0.77^{a},,,        & $ CV$ & $ $ & $ $ & $ 0.67^{a}$ & $ 0.72^{a}$ & $ 0.70^{a}$ & $ 0.61^{a}$ & $ 0.76^{a}$ & $ 0.78^{a}$ & $ 0.77^{a}$ & $ 0.65^{a}$ & $ 0.78^{a}$ & $ 0.83^{a}$ & $ 0.83^{a}$ & $ 0.85^{a}$ & $ 0.77^{a}$ \\
1,Anne Perkins,5,Gaby Hinsliff,,Anne PerkinsGaby Hinslifflexico+voice,Gaby HinsliffAnne Perkinslexico+voice,,lexico+voice,0.913888889,0.843414742,0.984363036,8.28E-05,0.672350589,-0.438893864,16.30583452,,,,,,,LCV,lexico+voice+coref,,,,0.97^{a},0.95^{a},0.98^{a},0.99^{a},0.98^{a},1.00^{a},0.97^{a},0.92^{a},0.97^{a},0.99^{a},0.99^{a},0.98^{a},0.99^{a},,,        & $ LCV$ & $ $ & $ $ & $ 0.97^{a}$ & $ 0.95^{a}$ & $ 0.98^{a}$ & $ 0.99^{a}$ & $ 0.98^{a}$ & $ 1.00^{a}$ & $ 0.97^{a}$ & $ 0.92^{a}$ & $ 0.97^{a}$ & $ 0.99^{a}$ & $ 0.99^{a}$ & $ 0.98^{a}$ & $ 0.99^{a}$ \\  \hline
1,Anne Perkins,5,Gaby Hinsliff,,Anne PerkinsGaby Hinslifflexico+coref,Gaby HinsliffAnne Perkinslexico+coref,,lexico+coref,0.975,0.905588872,1,4.52E-05,0.122350211,1.727473777,19,,,,,4,Emma Brockes,L,lexico_syntactic,,,,,0.96^{a},0.94^{a},0.94^{a},0.97^{a},0.99^{a},0.93^{a},0.90^{a},0.98^{a},0.97^{a},0.96^{a},0.98^{a},0.92^{a},,,$A_{4}$  & $ L$ & $ $ & $ $ & $ $ & $ 0.96^{a}$ & $ 0.94^{a}$ & $ 0.94^{a}$ & $ 0.97^{a}$ & $ 0.99^{a}$ & $ 0.93^{a}$ & $ 0.90^{a}$ & $ 0.98^{a}$ & $ 0.97^{a}$ & $ 0.96^{a}$ & $ 0.98^{a}$ & $ 0.92^{a}$ \\
1,Anne Perkins,6,Ian Jack,,Anne PerkinsIan Jacklexico_syntactic,Ian JackAnne Perkinslexico_syntactic,,lexico_syntactic,0.94742823,0.850007232,1,0.000217927,1,0,12.75145961,,,,,,,C,coref,,,,,0.62^{},0.59^{},0.65^{},0.60^{},0.66^{a},0.54^{},0.54^{},0.63^{a},0.64^{a},0.60^{},0.78^{a},0.67^{a},,,        & $ C$ & $ $ & $ $ & $ $ & $ 0.62^{}$ & $ 0.59^{}$ & $ 0.65^{}$ & $ 0.60^{}$ & $ 0.66^{a}$ & $ 0.54^{}$ & $ 0.54^{}$ & $ 0.63^{a}$ & $ 0.64^{a}$ & $ 0.60^{}$ & $ 0.78^{a}$ & $ 0.67^{a}$ \\
1,Anne Perkins,6,Ian Jack,,Anne PerkinsIan Jackcoref,Ian JackAnne Perkinscoref,,coref,0.812291277,0.770787455,0.853795098,3.10E-05,0.007584469,-3.543188096,20.8910784,,,,,,,V,voice,,,,,0.62^{},0.67^{a},0.55^{},0.55^{},0.66^{a},0.54^{},0.58^{},0.59^{},0.70^{a},0.70^{a},0.85^{a},0.52^{},,,        & $ V$ & $ $ & $ $ & $ $ & $ 0.62^{}$ & $ 0.67^{a}$ & $ 0.55^{}$ & $ 0.55^{}$ & $ 0.66^{a}$ & $ 0.54^{}$ & $ 0.58^{}$ & $ 0.59^{}$ & $ 0.70^{a}$ & $ 0.70^{a}$ & $ 0.85^{a}$ & $ 0.52^{}$ \\
1,Anne Perkins,6,Ian Jack,,Anne PerkinsIan Jackvoice,Ian JackAnne Perkinsvoice,,voice,0.76164153,0.602997856,0.920285204,0.010190964,0.024268462,-2.770752858,4.579024971,,,,,,,LC,lexico+coref,,,,,0.98^{a},0.91^{a},0.93^{a},0.97^{a},0.97^{a},0.94^{a},0.91^{a},0.98^{a},0.97^{a},0.97^{a},0.98^{a},0.91^{a},,,        & $ LC$ & $ $ & $ $ & $ $ & $ 0.98^{a}$ & $ 0.91^{a}$ & $ 0.93^{a}$ & $ 0.97^{a}$ & $ 0.97^{a}$ & $ 0.94^{a}$ & $ 0.91^{a}$ & $ 0.98^{a}$ & $ 0.97^{a}$ & $ 0.97^{a}$ & $ 0.98^{a}$ & $ 0.91^{a}$ \\
1,Anne Perkins,6,Ian Jack,,Anne PerkinsIan Jackcoref+voice,Ian JackAnne Perkinscoref+voice,,coref+voice,0.836381146,0.761955128,0.910807163,0.00023206,0.036096046,-2.514870134,12.54861969,,,,,,,LV,lexico+voice,,,,,0.96^{a},0.96^{a},0.93^{a},0.97^{a},0.97^{a},0.93^{a},0.91^{a},0.97^{a},0.97^{a},0.94^{a},1.00^{a},0.90^{a},,,        & $ LV$ & $ $ & $ $ & $ $ & $ 0.96^{a}$ & $ 0.96^{a}$ & $ 0.93^{a}$ & $ 0.97^{a}$ & $ 0.97^{a}$ & $ 0.93^{a}$ & $ 0.91^{a}$ & $ 0.97^{a}$ & $ 0.97^{a}$ & $ 0.94^{a}$ & $ 1.00^{a}$ & $ 0.90^{a}$ \\
