author1,author2,type,acc,L95,U95,p_baseline,p_lexico,t_lexico,t_baseline
Barbara Ellen,Catherine Bennett,lexico+voice,0.9896346624493078,0.982268622002074,0.9970007028965415,5.17079908772156e-09,0.2959571468346928,1.1181387583702842,184.5555657250137
Barbara Ellen,Catherine Bennett,lexico+coref,0.983542075910497,0.9692488127127588,0.9978353391082353,7.702917745145473e-08,0.9040084048626315,0.12447715984215618,93.92732864747941
Barbara Ellen,Emma Brockes,lexico_syntactic,0.9584612264003745,0.9163834210452053,1.0,7.1127823210288606e-06,1.0,0.0,30.25092248082109
Barbara Ellen,Emma Brockes,coref,0.5909726946481509,0.45369730089159005,0.7282480884047118,0.13960555201078886,0.00010136567164910529,-7.106248945740677,1.839956060956051
Barbara Ellen,Emma Brockes,voice,0.580502730535185,0.42001385412714254,0.7409916069432274,0.23613213493016866,0.00022663862858154785,-6.3248760239402,1.392690989880163
Barbara Ellen,Emma Brockes,coref+voice,0.6026181931658605,0.5343742405097972,0.6708621458219238,0.013975391914664733,1.75056383190065e-06,-12.3230184308396,4.174930803839976
Barbara Ellen,Emma Brockes,lexico+voice+coref,0.9736464347012014,0.9416509544276301,1.0,2.094210721917005e-06,0.44813564867821676,0.797585084602112,41.101221609315594
Barbara Ellen,Emma Brockes,lexico+voice,0.9819182399750351,0.9648248526995183,0.9990116272505519,1.5963994947835335e-07,0.18948679669683896,1.4339733558390193,78.2770270700351
Barbara Ellen,Emma Brockes,lexico+coref,0.9658002808550477,0.9345756610683487,0.9970249006417466,2.0309473421454753e-06,0.7075097327572439,0.38888125301572846,41.41824363640963
Barbara Ellen,Gaby Hinsliff,lexico_syntactic,0.9300119474313023,0.8243949904086316,1.0,0.0003490458497935902,1.0,0.0,11.304099268509887
Barbara Ellen,Gaby Hinsliff,coref,0.46797306397306393,0.3999439335647862,0.5360021943813417,0.2612534078440313,7.26063284581595e-06,-10.211138262585328,-1.307102255060574
Barbara Ellen,Gaby Hinsliff,voice,0.5744463994786575,0.48122394562405313,0.6676688533332619,0.09089105002576861,0.00011176989394374714,-7.00775955403966,2.2172377242342836
Barbara Ellen,Gaby Hinsliff,coref+voice,0.5520629955468666,0.3910791689603976,0.7130468221333355,0.41999190249257456,0.0006086138942786385,-5.450127267542695,0.8979165933193328
