author,type,acc,L95,U95,p_baseline,p_lexico,t_lexico,t_baseline
Ian Jack,lexico+voice,0.927495601309374,0.8879419810741874,0.9670492215445606,7.3452189642147374e-06,0.48596398215231906,0.7304316610906914,30.00782387785396
Ian Jack,lexico+coref,0.9418754255916515,0.895404379700525,0.988346471482778,1.2234395817390337e-05,0.23874693544484168,1.2730478258916933,26.400156031895904
John Harris,lexico_syntactic,0.8838682355932492,0.8037825747939884,0.9639538963925101,0.00018429423651947777,1.0,0.0,13.308113751165166
John Harris,coref,0.6891328919688827,0.5727325338332957,0.8055332501044697,0.010729377845168506,0.005041541498277358,-3.8266929687163915,4.511301344341522
John Harris,voice,0.6746052943254025,0.5857918234220459,0.7634187652287591,0.005475914597289234,0.0012584159129161825,-4.8583626300928735,5.458428882921444
John Harris,coref+voice,0.6962757097110999,0.6078895245924926,0.7846618948297072,0.003513152658246827,0.0023906452888279237,-4.366825151436627,6.1655419652441035
John Harris,lexico+voice+coref,0.8948088278879579,0.8222348410203802,0.9673828147555356,0.00011199163846768635,0.7857983481507144,0.2810577420784617,15.10410389439569
John Harris,lexico+voice,0.8898015883826323,0.8232641911177893,0.9563389856474754,8.360237822112627e-05,0.8782059191770899,0.15821797673344776,16.265480114220388
John Harris,lexico+coref,0.8847255653653718,0.798841753246099,0.9706093774846447,0.00024029628249068715,0.9843242425919204,0.020270241476246245,12.437377736792829
Jonathan Freedland,lexico_syntactic,0.9218375631650761,0.8823102785836683,0.961364847746484,7.725226699670746e-06,1.0,0.0,29.630389485169328
Jonathan Freedland,coref,0.5974510374253313,0.5724025335360691,0.6224995413145936,0.00041663945825418374,5.508515651882936e-08,-19.246258861951933,10.801741175926853
Jonathan Freedland,voice,0.6341310216045027,0.6020490422787954,0.6662130009302101,0.0003147279138102368,2.716515638699947e-07,-15.690971960165916,11.607993840036903
Jonathan Freedland,coref+voice,0.6176774837178197,0.5796560055074778,0.6556989619281617,0.0010076539090330156,3.1457262029431803e-07,-15.39747722976851,8.593171255805197
Jonathan Freedland,lexico+voice+coref,0.9071817766211785,0.8591641405105925,0.9551994127317645,1.9294760702789902e-05,0.5312994395428103,-0.6542585365450673,23.543804780851765
Jonathan Freedland,lexico+voice,0.9061397354447657,0.8574950947392764,0.9547843761502549,2.0524094535150475e-05,0.5065276367171833,-0.6953505668281874,23.180861532701247
Jonathan Freedland,lexico+coref,0.9117247486799887,0.871849270542962,0.9516002268170153,8.812026553717897e-06,0.630484644602134,-0.5000763780195353,28.66752241147142
Kevin McKenna,lexico_syntactic,0.9726007436438551,0.9328185594104016,1.0,5.0386605299887195e-06,1.0,0.0,32.98335791978498
Kevin McKenna,coref,0.58371267606555,0.5103653818030413,0.6570599703280587,0.033896428584984865,1.2043668513103258e-06,-12.939954049755574,3.16881013869939
Kevin McKenna,voice,0.6047695596765694,0.5327082390412148,0.6768308803119241,0.015647156125367236,1.661977998401222e-06,-12.407045300751456,4.036658342825672
Kevin McKenna,coref+voice,0.5808689282964957,0.5240088292098539,0.6377290273831375,0.016835199158889615,2.740999150465404e-07,-15.672870227195137,3.9487820763250494
Kevin McKenna,lexico+voice+coref,0.9429789416416302,0.8869911183146558,0.9989667649686046,2.541328511327354e-05,0.2654065874485702,-1.197445416733294,21.967396500553857
Kevin McKenna,lexico+voice,0.9688967614696098,0.9285202536470342,1.0,5.5159603649324876e-06,0.8605421604978178,-0.18143055034748815,32.24315792604256
Kevin McKenna,lexico+coref,0.9713195220845467,0.9297881998983346,1.0,6.046798463368397e-06,0.9521968140243959,-0.061853628505614565,31.50857500294657
Marina Hyde,lexico_syntactic,0.9068210529480357,0.8045105910417512,1.0,0.00038271236110556706,1.0,0.0,11.040086224843899
Marina Hyde,coref,0.582069516112804,0.42639281980511545,0.7377462124204925,0.21712185604356482,0.0012878823163652092,-4.840150837045195,1.463684107523632
Marina Hyde,voice,0.6082515507801054,0.5403870932414155,0.6761160083187953,0.01143310436697951,0.00014475187042753404,-6.7520316046197415,4.428746639905686
Marina Hyde,coref+voice,0.56768505135272,0.4745980815599666,0.6607720211454734,0.11365323316093616,0.00013679925887807366,-6.807314655263802,2.0187984413039772
Marina Hyde,lexico+voice+coref,0.8489316515057611,0.7707169179533399,0.9271463850581824,0.0002442012091804045,0.24730362102233241,-1.2480464164482579,12.386279820571794
Marina Hyde,lexico+voice,0.8768112890024433,0.8025637582890658,0.9510588197158208,0.00014722575719372974,0.5283334674752957,-0.6591155609821061,14.09064852234351
Marina Hyde,lexico+coref,0.8538847001931519,0.7704264194034088,0.9373429809828949,0.0002978649562304366,0.29796274925557703,-1.1131676807516386,11.77284547870079
Oliver Burkeman,lexico_syntactic,0.6559995172805493,0.5250108705006247,0.7869881640604739,0.029749577537005373,1.0,0.0,3.306577377614235
